级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV2,广汇物流,600603,5.78,6.93,19.9%,5.42,29.5,51%,深度调整
LV2,西安旅游,000610,7.65,9.13,19.4%,7.23,31.1,51%,深度调整
LV2,星湖科技,600866,6.04,7.17,18.7%,5.64,32.1,51%,深度调整
LV2,国脉科技,002093,8.78,10.21,16.3%,8.23,30.3,51%,深度调整
LV1,红太阳,000525,5.56,6.38,14.8%,5.16,32.1,49%,常规回撤
LV1,电广传媒,000917,8.95,10.11,12.9%,8.55,13.0,49%,常规回撤
LV1,山东章鼓,002598,8.14,9.19,12.9%,7.8,34.9,49%,常规回撤
LV1,亚太科技,002540,6.08,6.86,12.8%,5.84,32.1,49%,常规回撤
LV1,广农糖业,000911,5.79,6.49,12.1%,5.29,40.0,49%,常规回撤
LV1,理工能科,002322,12.21,13.69,12.1%,11.67,38.9,49%,常规回撤
LV1,博彦科技,002649,11.04,12.3,11.4%,10.35,33.1,49%,常规回撤
LV1,氯碱化工,600618,12.29,13.65,11.1%,11.83,23.0,49%,常规回撤
LV1,老板电器,002508,18.4,20.32,10.4%,17.97,35.3,49%,常规回撤
LV1,甘化科工,000576,9.02,9.96,10.4%,8.51,26.2,49%,常规回撤
